value,date
126587000,2019-03-01
126600000,2019-04-01
126534000,2019-05-01
126612000,2019-06-01
126633000,2019-07-01
126593000,2019-08-01
126513000,2019-09-01
126555000,2019-10-01
126553000,2019-11-01
126540000,2019-12-01
126387000,2020-01-01
126409000,2020-02-01
126370000,2020-03-01
126342000,2020-04-01
126310000,2020-05-01
126279000,2020-06-01
126261000,2020-07-01
126239000,2020-08-01
126187000,2020-09-01
126146099,2020-10-01
125669000,2020-11-01
125651000,2020-12-01
125630000,2021-01-01
125552000,2021-02-01
125480000,2021-03-01
125417000,2021-04-01
125339000,2021-05-01
125285000,2021-06-01
125682000,2021-07-01
125633000,2021-08-01
125559000,2021-09-01
125502000,2021-10-01
125443000,2021-11-01
125380000,2021-12-01
125309000,2022-01-01
125194000,2022-02-01
125103000,2022-03-01
125071000,2022-04-01
125072000,2022-05-01
125104000,2022-06-01
125125000,2022-07-01
125082000,2022-08-01
124971000,2022-09-01
124947000,2022-10-01
124913000,2022-11-01
124861000,2022-12-01
124752000,2023-01-01
124631000,2023-02-01
124567000,2023-03-01
124554000,2023-04-01
124500000,2023-05-01
124520000,2023-06-01
124560000,2023-07-01
124540000,2023-08-01
124450000,2023-09-01
55963053,1920-CY-01
59736822,1925-CY-01
64450005,1930-CY-01
69254148,1935-CY-01
73075071,1940-CY-01
71998104,1945-CY-01
84114574,1950-CY-01
84541000,1951-CY-01
85808000,1952-CY-01
86981000,1953-CY-01
88239000,1954-CY-01
90076594,1955-CY-01
90172000,1956-CY-01
90928000,1957-CY-01
91767000,1958-CY-01
92641000,1959-CY-01
94301623,1960-CY-01
94287000,1961-CY-01
95181000,1962-CY-01
96156000,1963-CY-01
97182000,1964-CY-01
99209137,1965-CY-01
99036000,1966-CY-01
100196000,1967-CY-01
101331000,1968-CY-01
102536000,1969-CY-01
104665171,1970-CY-01
105145000,1971-CY-01
107595000,1972-CY-01
109104000,1973-CY-01
110573000,1974-CY-01
111939643,1975-CY-01
113094000,1976-CY-01
114165000,1977-CY-01
115190000,1978-CY-01
116155000,1979-CY-01
117060396,1980-CY-01
117902000,1981-CY-01
118728000,1982-CY-01
119536000,1983-CY-01
120305000,1984-CY-01
121048923,1985-CY-01
121660000,1986-CY-01
122239000,1987-CY-01
122745000,1988-CY-01
123205000,1989-CY-01
123611167,1990-CY-01
124101000,1991-CY-01
124567000,1992-CY-01
124938000,1993-CY-01
125265000,1994-CY-01
125570246,1995-CY-01
125859000,1996-CY-01
126157000,1997-CY-01
126472000,1998-CY-01
126667000,1999-CY-01
126925843,2000-CY-01
127316000,2001-CY-01
127486000,2002-CY-01
127694000,2003-CY-01
127787000,2004-CY-01
127767994,2005-CY-01
127901000,2006-CY-01
128033000,2007-CY-01
128084000,2008-CY-01
128032000,2009-CY-01
128057352,2010-CY-01
127834000,2011-CY-01
127593000,2012-CY-01
127414000,2013-CY-01
127237000,2014-CY-01
127094745,2015-CY-01
127042000,2016-CY-01
126919000,2017-CY-01
126749000,2018-CY-01
126555000,2019-CY-01
126146099,2020-CY-01
125502000,2021-CY-01
124947000,2022-CY-01
